Aikaleima	ID	Asuinpaikka	Oppiaste	MOOC-kokemus	Koodiaapisen linja	Oppiaineet	Ohjelmointiympäristöt	Ohjelmointi opetuksessa	Kunka paljon aikaa luulet pystyväsi käyttämään MOOC:in suorittamiseen viikoittain	Sukupuoli	Ikä	Työtilanne	Koulun kunta
11.10.2015 klo 7.34.52	#N/A	Pohjois-Karjala	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Uskonto ja/tai ET, Liikunta	En ole koskaan ohjelmoinut mitään	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	25-35	Vakinainen työsuhde (opettaja)	Joensuu
11.10.2015 klo 7.48.51	#N/A	Pohjois-Pohjanmaa	yhtenäinen perusop 1-9	En	En tiedä vielä	Olen erityisopettaja, rehtori, ero 	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Oulu
11.10.2015 klo 8.10.57	48	Kanta-Häme	Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	Scratch (3-6)	Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Hollola
11.10.2015 klo 8.44.57	#N/A	Satakunta	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	En tiedä vielä	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Huittinen
11.10.2015 klo 9.10.16	#N/A	Keski-Suomi	Perusopetus luokat 1-2	En tiedä	ScratchJr (E-2)	Olen luokanopettaja	Code.org, Logo, Basic (Visual, Cool, tms)	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10), Vedän ohjelmointikerhoa	0-1h	Mies	Yli 55	Vakinainen työsuhde (opettaja)	Jyväskylä
11.10.2015 klo 9.19.43	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Uskonto ja/tai ET, Musiikki	ScratchJr	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Siikajoki
11.10.2015 klo 10.34.33	126	Pirkanmaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja, Olen erityisopettaja	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Ikaalinen
11.10.2015 klo 10.43.44	#N/A	Muualla	Esiopetus, Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja, esiluokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Bryssel
11.10.2015 klo 10.51.09	#N/A	Päijät-Häme	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	ScratchJr, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Myrskylä
11.10.2015 klo 11.21.03	75	Uusimaa	Perusopetus luokat 7-9	En	Racket (7-9), En tiedä vielä	Biologia ja/tai maantieto, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET, Tietotekniikka	Scratch, C/C++, HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Käytän niin paljon kuin se vaatii	Mies	46-55	Vakinainen työsuhde (opettaja)	Helsinki
11.10.2015 klo 11.51.29	76	Keski-Suomi	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Hankasalmi
11.10.2015 klo 12.05.13	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Olen luokanopettaja	ScratchJr, Scratch, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Vantaa
11.10.2015 klo 12.22.26	77	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Kielet, Biologia ja/tai maantieto, Uskonto ja/tai ET, Kuvataide	Scratch, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	2-3h	Nainen	46-55	Sijainen, määräaikainen (opettaja)	Kauniainen
11.10.2015 klo 12.52.58	#N/A	Varsinais-Suomi	Ammattillinen koulutus, Vapaa sivistystyö	En	En tiedä vielä	Tietotekniikka	ScratchJr, Scratch, C/C++, Basic (Visual, Cool, tms)	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Mies	36-45	Vakinainen työsuhde (opettaja)	
11.10.2015 klo 13.50.40	#N/A	Lappi	Perusopetus luokat 1-2, Harjoittelukoulu 	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2)	Olen luokanopettaja	ScratchJr, Scratch, Code.org, Lego RXT, NXT tai EV3	Olen opettanut ohjelmointia pidemmän jakson (yli 10), Olen käynyt opettajankoulutuksen ohjelmointi ja koodaus kokoontumisissa oppimassa ja jakamassa omia kokemuksia, innokas verkoston kursseilla, itse olen myös vetänyt koululle pajapäivää ja kokeillut oman 1. ja 2. luokkani kanssa ilaman tietokonetta ja tietokoneen kanssa koodausta.	0-1h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Rovaniemi
11.10.2015 klo 13.56.31	278	Uusimaa	Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	Scratch (3-6), Racket (7-9)	Olen erityisopettaja	Lily Pad Arduino	En ole koskaan käyttänyt ohjelmointia opetustyössä, Osana opintoja	1-2h	Nainen	46-55	Sijainen, määräaikainen (opettaja)	Porvoo
11.10.2015 klo 14.00.27	278	Uusimaa	Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	Scratch (3-6), Racket (7-9)	Olen erityisopettaja	LilyPad Arduino 	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Sijainen, määräaikainen (opettaja)	Porvoo
11.10.2015 klo 14.13.59	#N/A	Pohjois-Pohjanmaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
11.10.2015 klo 14.29.14	#N/A	Keski-Suomi	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Code.org, C#	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Mies	46-55	Vakinainen työsuhde (opettaja)	Jyväskylä
11.10.2015 klo 16.01.59	#N/A	Keski-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Vakinainen työsuhde (opettaja)	Jyväskylä
11.10.2015 klo 16.20.23	#N/A	Kymenlaakso	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	25-35	Vakinainen työsuhde (opettaja)	Kouvola
11.10.2015 klo 16.35.20	#N/A	Uusimaa	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Uskonto ja/tai ET, Tietotekniikka, Käsityö, Musiikki, Kuvataide, Liikunta	ScratchJr, Lego RXT, NXT tai EV3	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10), Lego Mindstorm-projekti 2. luokkalaisten kanssa	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Espoo
11.10.2015 klo 17.01.28	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Käsityö	ScratchJr, Scratch, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Helsinki
11.10.2015 klo 17.33.47	#N/A	Uusimaa	Esiopetus	En	ScratchJr (E-2), Scratch (3-6)	S2+ eskariopettaja	Turtle Roy	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kerava
11.10.2015 klo 17.51.24	79	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja, Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Kirkkonummi
11.10.2015 klo 18.07.57	80	Uusimaa	täydennyskoulutus	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	fysioterapia	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Muu	
11.10.2015 klo 18.44.34	#N/A	Uusimaa	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Kirkkonummi
11.10.2015 klo 18.44.38	83	Keski-Suomi	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Jyväskylä
11.10.2015 klo 18.47.52	#N/A	Lappi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Kemi
11.10.2015 klo 18.52.17	#N/A	Kymenlaakso	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	C/C++, Java, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Kouvola
11.10.2015 klo 18.54.35	#N/A	Kymenlaakso	Perusopetus luokat 7-9	En	Racket (7-9)	Olen erityisopettaja, erityisluokanopettaja	Code.org, Hopscotch, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Iitti
11.10.2015 klo 19.25.17	214	Uusimaa	Perusopetus luokat 7-9, Lukio, Yliopisto	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	JavaScript, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	46-55	Vakinainen työsuhde (opettaja)	Helsinki
11.10.2015 klo 19.27.09	#N/A	Keski-Suomi	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja	Scratch	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Jyväskylä
11.10.2015 klo 19.39.53	86	Varsinais-Suomi	Perusopetus luokat 7-9	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka	Scratch, Java, Logo, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Kaarina
11.10.2015 klo 19.40.09	#N/A	Pirkanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Lego RXT, NXT tai EV3	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Pirkkala
11.10.2015 klo 19.40.15	#N/A	Satakunta	Perusopetus luokat 1-2	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Pori
11.10.2015 klo 19.47.33	#N/A	Pohjois-Savo	Perusopetus luokat 7-9	Kyllä, mutta olen jättänyt kesken	Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Scratch, JavaScript, Java, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Tuusniemi
11.10.2015 klo 20.20.52	#N/A	Keski-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Äänekoski 
11.10.2015 klo 20.45.55	#N/A	Pohjois-Pohjanmaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Oulu
11.10.2015 klo 21.40.05	#N/A	Pohjois-Savo	Perusopetus luokat 1-2	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Code.org	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Sonkajärvi
11.10.2015 klo 22.21.18	#N/A	Varsinais-Suomi	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	koodaustunti	Olemme ohjelmoineet muutamia tunteja (alle 10)	Käytän niin paljon kuin se vaatii	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Pöytyä
11.10.2015 klo 22.26.58	88	Pohjanmaa	Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia, Tietotekniikka, Yrittäjyys	Scratch, Turtle Roy	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Mies	25-35	Vakinainen työsuhde (opettaja)	Seinäjoki
11.10.2015 klo 22.29.26	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Matematiikka, Biologia ja/tai maantieto, Uskonto ja/tai ET, Käsityö, Musiikki, Kuvataide, Liikunta	ScratchJr	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Mäntsälä
11.10.2015 klo 23.15.56	90	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Espoo
11.10.2015 klo 23.52.29	#N/A	Etelä-Karjala	Perusopetus luokat 1-2	Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2)	Olen luokanopettaja, Tietotekniikka	ScratchJr, Scratch, Code.org, Hopscotch	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Lappeenranta
12.10.2015 klo 0.32.07	#N/A	Uusimaa	Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6), Racket (7-9)	Käsityö	Arduino	En ole opettanut ohjelmointia mutta ohjelmoinnista on ollut apua opetustyössä muuten	3-5h	Nainen	36-45	Opiskelija (opettajaksi valmistuva)	
12.10.2015 klo 5.42.07	#N/A	Etelä-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Savonlinna
12.10.2015 klo 8.13.20	92	Etelä-Pohjanmaa	Perusopetus luokat 7-9, Lukio	Kyllä, olen suorittanut loppuun asti	En tiedä vielä	Matematiikka, Tietotekniikka	Scratch, Code.org, C/C++, Java, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10), Olen opettanut ohjelmointia pidemmän jakson (yli 10)	Vaihtelee varmasti viikottain	Nainen	36-45	Vakinainen työsuhde (opettaja)	Ähtäri
12.10.2015 klo 8.14.59	#N/A	Uusimaa	en opeta; olen koulusihteeri	En	Racket (7-9)	kes. ed. vastaus	C#, Basic (Visual, Cool, tms), HTML, CSS		Käytän niin paljon kuin se vaatii	Nainen	46-55	Muu	Espoo
12.10.2015 klo 8.29.22	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 3-6	En	En tiedä vielä	Olen luokanopettaja	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Mies	46-55	Vakinainen työsuhde (opettaja)	Oulu
12.10.2015 klo 8.37.18	#N/A	Keski-Suomi	Perusopetus luokat 7-9, Yliopisto	Kyllä, mutta olen jättänyt kesken	En tiedä vielä	Kielet, Tietotekniikka	ScratchJr, Scratch, Code.org, JavaScript, C/C++, Java, C#, HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Muu	
12.10.2015 klo 9.32.11	#N/A	Muualla	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	25-35	Vakinainen työsuhde (opettaja)	
12.10.2015 klo 9.34.42	#N/A	Pirkanmaa	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Historia ja yhteiskuntaoppi	Scratch, Code.org, Lego RXT, NXT tai EV3	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	36-45	Sijainen, määräaikainen (opettaja)	Ylöjärvi
12.10.2015 klo 10.49.42	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Kaupalliset, tietotekniikka	Scratch	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Ylivieska
12.10.2015 klo 10.55.30	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch, Code.org, Turtle Roy	En ole koskaan käyttänyt ohjelmointia opetustyössä, Olen omien lasteni (4,6 ja 8 v.) kanssa tutustuneet ohjelmointiin erilaisten appien ja Hello Rubyn kautta	2-3h	Nainen	36-45	Opiskelija (opettajaksi valmistuva)	
12.10.2015 klo 11.42.49	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Historia ja yhteiskuntaoppi, Uskonto ja/tai ET	Scratch, Code.org, Turtle Roy, Lego RXT, NXT tai EV3	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olen opettanut ohjelmointia pidemmän jakson (yli 10), Vedän ohjelmointikerhoa	Käytän niin paljon kuin se vaatii	Nainen	36-45	Vakinainen työsuhde (opettaja)	Helsinki
12.10.2015 klo 11.50.46	#N/A	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Scratch, Code.org, Turtle Roy	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	36-45	Opiskelija (opettajaksi valmistuva)	
12.10.2015 klo 12.07.03	#N/A	Keski-Suomi	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	C#	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Äänekoski
12.10.2015 klo 12.23.32	#N/A	Uusimaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Kielet	Kodu	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Mies	46-55	Vakinainen työsuhde (opettaja)	Helsinki
12.10.2015 klo 12.35.56	#N/A	Pirkanmaa	Perusopetus luokat 7-9, Lukio	En	En tiedä vielä	Matematiikka, Fysiikka ja/tai kemia	ScratchJr, Scratch, Racket, Code.org, Hopscotch, Lego RXT, NXT tai EV3, Python, Picaxe Basic, HTML, CSS	Olen opettanut ohjelmointia pidemmän jakson (yli 10)	0-1h	Mies	36-45	Vakinainen työsuhde (opettaja)	Tamepere
12.10.2015 klo 13.50.21	#N/A	Uusimaa		Kyllä, olen suorittanut loppuun asti	ScratchJr (E-2), Scratch (3-6), Racket (7-9)		Basic (Visual, Cool, tms), HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	Yli 55	En ole opettaja	
12.10.2015 klo 14.17.13	#N/A	Pohjois-Pohjanmaa	Opettajan pätevyys löytyy, mutta tällä hetkellä en toimi suoraan opettajana	En	En tiedä vielä		Scratch, Code.org, Turtle Roy, JavaScript, Python, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	0-1h	Nainen	25-35	Kaupungin peruskoulujen TVT-kehittäjä, määräaikainen	Kuusamo
12.10.2015 klo 14.17.24	#N/A	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	2-3h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Kirkkonummi
12.10.2015 klo 14.48.36	#N/A	Satakunta	Perusopetus luokat 1-2	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	pori
12.10.2015 klo 15.54.52	#N/A	Uusimaa	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja	Scratch, Code.org, Lego RXT, NXT tai EV3	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org)	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Espoo
12.10.2015 klo 15.58.04	100	Pohjanmaa	Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Äidinkieli ja kirjallisuus, Käsityö	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	3-5h	Nainen	Yli 55	Vakinainen työsuhde (opettaja)	Isojoki
12.10.2015 klo 16.03.06	251	Pohjois-Pohjanmaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Käsityö, Kuvataide	HTML, CSS	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Mies	25-35	Opiskelija (opettajaksi valmistuva)	
12.10.2015 klo 16.19.34	#N/A	Etelä-Savo	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2)	Olen luokanopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	0-1h	Nainen	46-55	Vakinainen työsuhde (opettaja)	Savonlinna
12.10.2015 klo 16.34.34	#N/A	Etelä-Karjala	Perusopetus luokat 3-6, Perusopetus luokat 7-9	En	Racket (7-9)	Kielet	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Lappeenranta
12.10.2015 klo 16.54.54	#N/A	Uusimaa	Perusopetus luokat 7-9	Kyllä, olen suorittanut loppuun asti	Racket (7-9)	Olen erityisopettaja	En ole koskaan ohjelmoinut mitään	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Mies	46-55	Vakinainen työsuhde (opettaja)	Vantaa
12.10.2015 klo 17.13.44	#N/A	Uusimaa	Perusopetus luokat 7-9, Lukio	En	Racket (7-9)	Matematiikka, Fysiikka ja/tai kemia	Scratch, Racket, JavaScript, Python, HTML, CSS	Olemme kokeilleet valmiita sivustoja oppilaiden kanssa (esim. code.org), Olemme ohjelmoineet muutamia tunteja (alle 10)	2-3h	Nainen	25-35	Sijainen, määräaikainen (opettaja)	Helsinki
12.10.2015 klo 18.00.51	103	Keski-Suomi	Perusopetus luokat 3-6	En	Scratch (3-6)	Olen luokanopettaja, Musiikki	Lego RXT, NXT tai EV3	En ole koskaan käyttänyt ohjelmointia opetustyössä	1-2h	Nainen	25-35	Vakinainen työsuhde (opettaja)	Kangasniemi
12.10.2015 klo 18.11.49	104	Uusimaa	Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja	ScratchJr, Lego RXT, NXT tai EV3	Olemme ohjelmoineet muutamia tunteja (alle 10)	1-2h	Nainen	36-45	Vakinainen työsuhde (opettaja)	Vantaa
12.10.2015 klo 18.14.11	#N/A	Uusimaa	Esiopetus, Perusopetus luokat 1-2, Perusopetus luokat 3-6	En	ScratchJr (E-2), Scratch (3-6)	Olen luokanopettaja, Olen erityisopettaja, Äidinkieli ja kirjallisuus, Fysiikka ja/tai kemia, Uskonto ja/tai ET	ScratchJr	En ole koskaan käyttänyt ohjelmointia opetustyössä	Käytän niin paljon kuin se vaatii	Nainen	46-55	Rehtori	Helsinki
